タイトル,タグ,URL,作成日,テキスト,Attention Leve,投稿 済・未,日付
歌詞をAIで生成して、【SunoAI】でオーディオを生成する動画,"AI-related, BookMark, GPTs, プロンプト, プロンプト例, 文章生成, 音楽生成",https://www.youtube.com/watch?v=JoQx3dMSU_s,2024年3月24日 12:21,SunoAIのBarkは多言語対応でリアルな音声、音楽、非言語コミュニケーションを生成し、広範な用途に利用可能です。,,,
写真を3DCGにし動画生成AI,"3DCG, AI-related, 動画編集, 画像編集",https://huggingface.co/spaces/shariqfarooq/ZoeDepth,2024年3月22日 11:23,５分で完成！写真から作るなめらかな３D動画！splineで編集可能,,,
AIマインドマップツール,"AI-related, BookMark, Online tools, YouTube, アプリ・ソフト",https://www.youtube.com/watch?v=S79Kuh_BpD4,2024年3月3日 0:49,,,,
【パワポ】資料やプレゼン資料を自動生成できるAIツール３選【ChatGPT/ Gamma / Tome ai】,"AI-related, ChatGPT, 文章生成, 資料",https://www.youtube.com/watch?v=dZb6FRX7S7g&t=210s,2024年1月6日 19:59,AIで簡単にパワーポイントの資料を生成できる。,,,
【Kaiber AI】動画生成AI 要カード登録,"AI-related, 画像・映像生成",https://kaiber.ai/,2024年1月5日 14:37,,,,
【v0】スクショや抽象的な指示でUI書き出しAI,AI-related,https://www.youtube.com/watch?v=blbw7EKWCug,2023年12月23日 12:07,スクショでも、適当な指示（カフェのデザイン）のプロンプトでもデザインができてしまう,,,
【Mootion】テキストのみでモーション動画が生成される,"AI-related, BookMark, Video, YouTube, 生成, 画像・映像生成",https://www.youtube.com/watch?v=r4Qx4cqG2bA&t=393s,2023年12月21日 14:31,,,,
【Gamma】でパワーポイントスライド企画書をAIで自動生成 ※ポイント制,"AI-related, pawa-poito, 企画書",https://www.youtube.com/watch?v=e7p2lURYOHg,2023年11月21日 19:06,,,,
【Notion × ChatGPT】ChatGPTの内容をNotionに簡単保存し管理,"AI-related, BookMark, ChatGPT, Notion, YouTube, memo, アプリ・ソフト, プラグイン, 設定",https://www.youtube.com/watch?v=xgbe-Ocex04,2023年11月21日 18:08,,,,
【音楽・歌詞・歌唱 生成AI】プロンプトだけで音楽生成。Suno.ai,"AI-related, BookMark, 生成",https://app.suno.ai/,2023年11月20日 18:13,Googleアカウントでログイン？一応ログインできたが、一度弾かれたままログインした。DiscordでもOK,,,
【GPT-4V（ビジョン）】仕事活用術11選 ChatGPT-4V,"AI-related, ChatGPT, GTP-4V, 便利, 実務, 情報, 画像, 画像編集",https://www.youtube.com/watch?v=ZWznro-CYc0,2023年10月30日 9:33,今回はChatGPTの最新アップデートGPT-4Vで追加された新機能の画像解析機能を使った仕事活用術・アイデアを11パターン紹介します。今まで追加されてきた機能でトップクラスに仕事で使いやすい機能になってますので色々参考にしてみて下さい。,,,
【DALL-E 3】完全ガイドこの動画一本で理解できる教科書,"AI-related, ChatGPT, DALL-E 3, プロンプト, プロンプト例, 生成, 画像",https://www.youtube.com/watch?v=vqnPuTltFN8,2023年10月30日 9:29,"ChatGPT DALL-E3機能の完全版解説動画
プロンプト30種以上収録。条件付きで資料無料配布",,,
背景を透明にするAI 画像編集アプリ Clipdrop,"AI-related, BookMark, 映像, 画像・映像生成",https://clipdrop.co/ja,2023年10月19日 13:04,背景削除が簡単！画像編集AIツール「ClipDrop」,,,
静止画を動かせる　AI VIdeo作成ツール ANIMATED DRAWINGS,"AI-related, BookMark, 映像, 画像・映像生成",手描きイラストからアニメーションを生成するAI『Animated Drawings』,2023年10月19日 12:56,誰でも簡単に手描きのマンガやイラストをアニメーション化できる無料のWebサービス「Animated Drawings」をご紹介。画像をアップロードするだけで、キャラクターが動き出します。,,,
V ide生成AI Pika Labs,"AI-related, 映像, 画像・映像生成",https://www.youtube.com/watch?v=vvfPr7a3fk0,2023年10月19日 12:50,"【PIKA LABSの使い方】映画が作れる動画生成AI。テキストから""アニメーション動画""を簡単に作れます",,,
特化ブログSEOキーワード選定,"AI-related, BookMark, ChatGPT, SEO, YouTube, マーケティング, 文章生成, 記事制作, 超特化ブログ",https://www.youtube.com/watch?v=XJvr8mgkMRU,2023年10月11日 13:01,実演！キーワード選定→ChatGPTでブログ記事作成→高速で上位表示！,,,
Open  / Code Interepreter（Advanced Data Analysis） 関連、初歩の学び用YouTubeブックマーク,"AI-related, BookMark, ChatGPT, Code Interepreter, Program, YouTube",,2023年10月8日 23:23,初心者でもわかりやすいように、表で「Open Interpreter」と「Code Interepreter」の比較,,,
【ChatGTP・Googleスプレットシート】,"AI-related, BookMark, SEO, YouTube, リサーチ, 稼ぐ",https://www.youtube.com/watch?v=nyL--wOg7fo&t=491s,2023年10月8日 1:20,ChatGPT×Googleスプレッドシートをノーコードで連携する方法,,,
アイデアリサーチAI紹介動画,"AI-related, BookMark, YouTube, 説明・解説",https://www.youtube.com/shorts/Q5jwit3D0KU,2023年10月8日 1:19,本当に使えるAIツール、アイデア・リサーチ編7選 ！マインドマップ、perplesityなど,,,
【GitMind】,"AI-related, BookMark, idea, アプリ・ソフト",https://gitmind.com/jp/,2023年10月8日 1:17,WEBベースのマインドマップソフトウェア,,,
【Runway】動画生成WEBアプリ,"AI-related, BookMark, プロンプト, 動画編集, 映像",https://runwayml.com/,2023年10月8日 1:12,動画生成AIのGEN 2　runway,,,
アバター付き動画生成AI【wondershare virdo】,"AI-related, アプリ・ソフト, 画像・映像生成",https://virbo.wondershare.com/,2023年10月7日 12:26,AIを活用して、アバターを使用したり、動画のストーリーや構成、BGM、テロップなどを自動で作成できることです。これにより、動画編集の知識やスキルがなくても、簡単にプロ級の動画を作ることができます。,,,
Canvaプラグイン×チャットGPTでAIに画像を作らせてお金を稼ぐ方法,"AI-related, アプリ・ソフト, 画像・映像生成",https://www.youtube.com/watch?v=tOO6lrj5Ir0,2023年10月7日 0:55,AIでイラスト素材を生成,,,
【Perplexity】AI検索でリサーチ業務の効率化,"AI-related, マーケティング, リサーチ, 仕事環境改善, 実務, 稼ぐ",https://www.youtube.com/watch?v=L-T9DjD4P6A,2023年10月3日 14:32,"対話型AI検索エンジン
お仕事や学業などで調べものを強力にサポートするツール『Perplexity』で、最新情報を、出典元（引用文献など）を提示しながら、答えてくれます！
正確かつ最新の情報がほしいリサーチ業務を楽に",,,
【AIいらすとや】AIイラスト素材生成,"AI-related, アプリ・ソフト, 画像・映像生成",https://aisozai.com/irasutoya,2023年10月3日 14:18,AIでイラスト素材を生成,,,
誰でも簡単にAIで漫画を作る方法,"AI-related, BookMark, YouTube, アプリ・ソフト, 画像, 画像編集",,2023年9月24日 12:59,,,,
【jojoさんBlog】AI活用者のポータルメディア,"AI-related, BookMark, プロンプト, プロンプト例, 実務, 画像編集, 稼ぐ",https://blogcake.net/,2023年9月24日 12:57,,,,
【clipdrop】写真加工、パーツ削除、背景を透明化,"AI-related, アプリ・ソフト, 画像・映像生成",https://clipdrop.co/ja,2023年9月23日 12:41,フォトショップの様に写真の中の素材をけ消したり、背景を消したい便利ツール,,,
【runway】写真に命を吹き込むAI,"AI-related, アプリ・ソフト, 画像・映像生成",https://runwayml.com/,2023年9月23日 12:38,写真から動画生成,,,
動画生成AIの正しい使い方【Runway】,"AI-related, アプリ・ソフト, 画像・映像生成",https://www.youtube.com/watch?v=iFEFDRPFYGs,2023年9月23日 12:36,"動画生成AIの正しい使い方【Runway】、テキストだけでなく、絵文字からも動画を生成くれるとは。。。
プロンプトをもう少し細かく設定すれば、テキストから広告動画も作れそうですね",,,
AIでSEOに強いブログの作成法  7STEP,"AI-related, BookMark, ChatGPT, SEO, YouTube, マーケティング, 文章生成, 稼ぐ, 記事制作, 超特化ブログ",https://www.youtube.com/watch?v=lffTHuvCCCQ,2023年9月16日 2:13,今まで1週間はかけていたSEO対策用のガチページが、たった10分で作成できる世の中になりました。,,,
SeaArtのControlNetの使い方について完全解説,"AI-related, BookMark, Stable Diffusion Insights, WebSite, デザイン, 画像・映像生成",https://ai-illust-kouryaku.com/?p=3328,2023年9月15日 19:09,ControlNetで生成してほしいポーズの画像生成や画風・塗りを変えることもでき画像生成した作品をさらにクオリティアップ,,,
無料！物語生成が得意な AIノベリスト,"AI-related, 文章生成, 記事制作",https://ai-novel.com/,2023年9月15日 15:04,日本語で史上最大、総2テラバイト以上で訓練した小説AIです。お試しプロンプトから始めるか、好きな文章を入力して始めましょう。,,,
AIリライト生成 Catchy,"AI-related, 文章生成, 記事制作",https://lp.ai-copywriter.jp/,2023年9月15日 14:44,用途に応じて、100種類以上の生成ツールが使えます。広告、資料作成、webサイト制作、セールスレターなど様々なシチュエーションに対応しています。,,,
StableDiffusionをPaperspaceに起動,"AI-related, BookMark, Online tools, PC, Stable Diffusion Insights, YouTube, アプリ・ソフト, 画像・映像生成",https://www.youtube.com/watch?v=mLUqbZF82wM&t=905s,2023年9月10日 13:03,,,,
StableDiffusionをPaperspaceにインストール,"AI-related, BookMark, Online tools, PC, Stable Diffusion Insights, YouTube, アプリ・ソフト, 画像・映像生成",https://www.youtube.com/watch?v=XGS-K3bRAu4,2023年9月9日 17:32,メガネよりわかりやすい！　StableDiffusion WebUIを削除→再インストールする手順を解説【Paperspace版】,,,
CIVITAI：モデル追加サイト / Stable Diffusionなどに追加,"AI-related, BookMark, Online tools, PC, Stable Diffusion Insights, YouTube, アプリ・ソフト, 画像・映像生成",https://civitai.com/,2023年8月31日 17:41,LoRA?　StableDiffusionやSeaArtにモデル追加,,,
StableDiffusionをPaperspaceにインストール,"AI-related, BookMark, Online tools, PC, YouTube, アプリ・ソフト, 画像・映像生成",https://www.youtube.com/watch?v=nS2czXPDZ1M,2023年8月29日 18:09,ウェブ職TV：メガネのおにーちゃんが説明するが、GitHubが難しくPaperspaceの使い方がわからない。,,,
AI画像生成  テルルとロビン【てるろび】旧やすらぼ,"AI-related, BookMark, YouTube チャネル, 情報, 画像・映像生成",https://www.youtube.com/@RobinAndSlime,2023年8月28日 9:50,,,,
AI画像生成　Stable DiffusionをGoogle Colabで動かす,"AI-related, BookMark, アプリ・ソフト, 画像・映像生成",https://blog-architect.me/2023/04/20/stable-diffusion-bra/,2023年8月27日 18:48,Stable Diffusion（STABILITY AI LTD）を、AUTOMATIC1111のWebUIを使い、Google colab（ブラウザ上）で動かす方法について、Python超初心者が解説,,,
AIで漫画制作,"AI-related, BookMark, ChatGPT, YouTube, プロンプト, プロンプト例, 文章生成, 画像・映像生成",https://www.youtube.com/watch?v=CAOZM2Yh8WE,2023年8月27日 18:22,【AI漫画家】ChatGPTとMITJourneyで描かれた漫画が,,,
ChatGPT×YouTubeショートで稼ぐ方法,"AI-related, BookMark, ChatGPT, YouTube, 稼ぐ",https://www.youtube.com/watch?v=n8Qu6f_fhO4,2023年7月8日 18:50,,★★,,
アニメを実写化するAIツール,"AI-related, 動画編集, 映像",https://www.youtube.com/watch?v=69ojJubbZHA,2023年6月8日 13:08,Stable Diffusionを利用してアニメ画をリアルに（実写化）する方法を紹介。,,,
AI Midjourney×Canva コラージュ画像生成,"AI-related, BookMark, デザイン, 映像",https://www.youtube.com/watch?v=OiEDbrC01kg,2023年6月1日 13:21,,★,,
ツイート自動生成プロンプト,"AI-related, ChatGPT, X（旧Twitter）, プロンプト, プロンプト例",https://www.youtube.com/watch?v=8XllvnpvDBw&t=141s,2023年5月31日 17:23,,★★★,,
ChatGPTのブログ記事の考え方,"AI-related, BookMark, ChatGPT, SEO, WebSite, マーケティング",https://www.youtube.com/watch?v=XyzMwBIsYEU,2023年5月29日 16:30,,,,
プロンプト参考サイト,"AI-related, プロンプト",https://prompt.quel.jp/,2023年5月25日 16:07,,,,
ChatGPT×YouTubeショートで稼ぐ方法,"AI-related, ChatGPT, YouTube, 稼ぐ",https://www.youtube.com/watch?v=n8Qu6f_fhO4,2023年5月17日 16:38,,,,
AIプロンプトエンジリアリング,"AI-related, ChatGPT, プロンプト",https://www.youtube.com/watch?v=QZG_BepbKOk,2023年5月17日 16:37,,,,
n8n海外データベース×AI活用完全ガイド,AIエージェント,https://www.youtube.com/watch?v=6CYtj2xYIxk,2025年9月14日 10:13,n8nワークフローをコピペで構築,,,
【GPTs】おすすめ８選,"ChatGPT, GPTs",https://www.youtube.com/watch?v=2f1NJ3I6bzA,2024年5月27日 0:13,,,,
ChatGPTだけでテトリスを作る,"ChatGPT, Game, プログラム",https://www.youtube.com/watch?v=tJCjxtNJSE0,2024年2月9日 9:28,,,,
登録済-おすすめ GPTs 一覧,"ChatGPT, GPTs",,2024年2月8日 19:11,自分が登録したGPTsの一覧　機能概要、主な用途,,,
ChatGPTの【画像編集】まとめ。GPTs製作も,"ChatGPT, Code Interepreter, DALL-E 3, GPTs, python, プロンプト, プロンプト例",https://www.youtube.com/watch?v=qZNGD3P9H9c,2024年1月31日 15:15,"サイズ変更/トリミング/切り抜き。画像加工を紹介。GPTsの制作に役立つコードインタプリタやpythonコードについても触れています。
",,,
ChatGPTで【テトリス】づくり: BGMも花火の演出も全部AI【ずんずん生成AI比較】,ChatGPT,https://www.youtube.com/watch?v=xfKHN4h1YSo,2024年1月20日 12:01,ChatGPTでテトリスを作る動画を見て僕も作ってみたくなりました。後発の動画のため、差別化として花火の演出やBGMもAIで作成してみました。,,,
【GPTs】のつくり方前編とりあえず作ってみよう！【前篇：初心者向け】【ずんずん生成AI比較】,"BookMark, ChatGPT, GPTs, YouTube",https://www.youtube.com/watch?v=qRoSd1mCqQ4,2024年1月20日 9:43,ChatGPTのGPTsをこれからを作っていきたい人向けに制作手順を紹介。各機能の説明。前編後編に分かれる動画の前編。,,,
【GPTs】KnowledgeとActionsの使い方【後篇：初心者向け】【ずんずん生成AI比較】,"BookMark, ChatGPT, GPTs, YouTube",https://www.youtube.com/watch?v=tKzt8-pVWL0,2024年1月20日 9:38,ChatGPTのGPTsKnowledgeとActionsの説明と設定について紹介。前編後編動画の前編。,,,
パワポ×ChatGPTで「絶対伝わる資料」作成術,"BookMark, ChatGPT, プロンプト, プロンプト例, 企画書, 動画まとめ, 資料",https://www.youtube.com/watch?v=PVb8KUtlmIY,2024年1月19日 19:11,ChatGPTのプラグインや特性を「資料作成に特化」して、「伝わる資料の考え方」で資料作りをします,,,
【GPTs】のカスタムボットで条件分岐を追加する方法,"BookMark, ChatGPT, GPTs, YouTube",https://www.youtube.com/watch?v=CCNF7jVhPAU,2024年1月8日 16:56,My GPTsで作成したカスタムボットに先日解説したスプレッドシートにAPIで連携する方法の応用として条件分岐を追加する方法を解説,,,
ChatGPT研究所 - ChatGPT、GPTsの詳しいサイト,"BookMark, ChatGPT, GPTs, WebSite, プラグイン",https://chatgpt-lab.com/,2024年1月7日 12:26,ChatGPT や AI ツールが持つ無限の可能性について探っていルサイト。有料でかなり詳しそうなGPTsラボを運営している。,★★★★,,
CahtGTPで画像入り【パワポスライド】資料を半自動で作成する方法,"BookMark, ChatGPT, YouTube, プロンプト, プロンプト例, 実務, 文章生成",https://www.youtube.com/watch?v=drrubbM7Dp4,2024年1月6日 17:52,CahtGTPで内容、画像生成、データダウンロードし、パワポで読み込みデザインを整える,,,
【マインドマップ】をChatGTPで生成,"AI-related, BookMark, ChatGPT",https://www.youtube.com/watch?v=p7oTgy-gH6w,2023年11月22日 0:19,CgatGTPで、freemindで記述し、MindNode用のマインドマップファイルを生成,,,
【HeyGen】ChatGTPのAI読み上げプラグイン,"ChatGPT, GPTs, プラグイン, 情報",,2023年11月19日 18:58,,,,
【GPTs】実在する人物を完璧なまでにコピーしてChatbotを作る方法,"ChatGPT, GPTs, プロンプト",,2023年11月15日 1:24,https://www.youtube.com/watch?v=ZWWP5YGTI2Q,,,
"【DALL-E3】AIスムーズに画像生成マニュアル　ChatGPT ","BookMark, ChatGPT, DALL-E 3, 生成, 画像",https://www.youtube.com/watch?v=2HfXgMJNhZE,2023年11月3日 9:21,,,,
ChatGPTを使ってマインドマップを作成,"BookMark, ChatGPT, YouTube, 生成",https://www.youtube.com/watch?v=PAaPEBvzhjE,2023年11月1日 17:19,ChatGPTの公式プラグインCode Interpreterを使ってマインドマップを作成,,,
【ウェブ職TV】ChatGPT×DALL-E3で一発でクオリティの高い画像を作ってしまうCoTプロンプト　Chain of Thought,"BookMark, ChatGPT, DALL-E 3, YouTube, デザイン, プロンプト, プロンプト例, 生成, 画像",https://www.youtube.com/watch?v=I_H3aM0Eq3Y,2023年11月1日 9:11,DALL-E3がCoTプロンプトにより、オートエージェントの様に思考し、画像を生成プロンプトを作ってくれる,,,
ChatGPTのDALLE3機能で使える小技10選,"ChatGPT, DALL-E 3, プロンプト, プロンプト例, 画像, 画像・映像生成",https://www.youtube.com/watch?v=JBCBwE75QgU,2023年10月18日 12:54,DALLE3の使い方、画像を読み込みそのポーズをDALLE3で生成など,,,
ChatGPTプラグイン最強10選,"AI-related, BookMark, ChatGPT, YouTube, プラグイン",https://www.youtube.com/watch?v=qyve0xYZKxM,2023年10月12日 12:33,"2分22秒あたりかた始まる。
ChatGPTプラグイン最強10選：即効で結果を出す方法　プラグイン最強組み合わせも後半にご紹",,,
ChatGTPで超特化ブログ SEOキーワード選定,"BookMark, ChatGPT, SEO, SNS, WebSite, WordPress, デザイン, ブランディング, プロンプト, マーケティング, 文章生成, 稼ぐ, 記事制作, 超特化ブログ",https://www.youtube.com/watch?v=kMBYSyBZa-Y,2023年9月19日 12:10,デザインが悪いが、案外良さそうな動画。チャットGPTで記事生成だけでなく、ブログタイトルやカテゴリ、メタタグキーワードの生成方法などを全て説明,,,
ChatGPTプラグインで業務効率！プラグイン12選,"BookMark, ChatGPT, YouTube, プラグイン, 仕事環境改善",https://www.youtube.com/watch?v=AqZyOl_cD5w,2023年9月16日 9:51,ChatGPTのプラグインで本当にビジネスや、業務の効率化に使えるものだけど、厳選して12個紹介します。,,,
ChatGTPに質問をさせながら記事生成,"ChatGPT, プロンプト, プロンプト例",https://www.youtube.com/watch?v=xYnldLwMDfo,2023年7月27日 16:01,ChatGTPに、細かな質問をさせながら高品質な記事生成,★★★★,,
潜在意識系の動画用をまとめるプロンプト,"ChatGPT, YouTube, プロンプト, 動画まとめ, 文章生成, 潜在意識",,2023年7月8日 22:45,動画の文字起こしから記事起こしをするプロンプト,★★★★,,
PDFをChatGTPで読み込む説明,"ChatGPT, プラグイン, プロンプト, 文章生成",https://bocek.co.jp/media/exercise/chatgpt/3675/,2023年6月18日 13:22,,★★★★,,
ChatGTP用 便利 Chromeプラグイン,"ChatGPT, プラグイン",https://www.youtube.com/watch?v=yoYnI0skvfM,2023年6月18日 12:58,日本語上手い外人が、Chrome用のChatGTPが使えるプラグインを説明、概要欄にプラグインURLや、動画内の目次もあり見やすい,,,
ChatGPT”4”で人間と同じ思考で問題解決する方法,"ChatGPT, プロンプト, プロンプト例, 問題解決",https://www.youtube.com/watch?v=Wv8y48cc-Lw,2023年6月8日 19:09,ChatGPT “4”が「Tree of Thought」で問題解決,★★★,,
ChatGTP裏技,"BookMark, ChatGPT, プロンプト",https://www.youtube.com/watch?v=be92wrXWKO8,2023年6月7日 18:54,,,,
ChatGTPでYahoo知恵袋やTwitterなどでどんな悩みや、質問が多いか調べる,"ChatGPT, マーケティング, リサーチ",,2023年6月7日 13:29,,,,
WPに自作のChatBOT設置-ChatGTP利用,"AI-related, BookMark, ChatGPT, WebSite, WordPress, プラグイン, マーケティング",https://hanlabo.co.jp/memorandum/2815/,2023年6月4日 22:04,,,,
SEOに対応したChatGPT利用しリサーチもすマニュアル,"AI-related, BookMark, ChatGPT, SEO, WebSite, マーケティング, リサーチ, 学び",https://www.youtube.com/watch?v=Y38FNFFR36s&t=764s,2023年6月1日 18:40,リサーチを重要とした、ChatGTPを中心に様々なツールを利用した質の良いブログ記事の作り方,★★★★,,
ChatGTPで新しいサイトから情報を集める方法,"ChatGPT, プラグイン, 設定",https://www.youtube.com/watch?v=Y38FNFFR36s&t=764s,2023年6月1日 18:32,2年前の情報になってしまうChatGTPに新しいサイトの情報を調べさせる方法：20分30秒 位から,,,
SEO対策のキーワード選択をAIで簡単に,"AI-related, ChatGPT, SEO, プロンプト例",https://www.youtube.com/watch?v=Y38FNFFR36s&t=764s,2023年6月1日 18:27,SEO対策で目的にするためのキーワードをChtGTPで調べさせるプロンプト例,,,
ChatGTPに文章生成の順序を指示する,"AI-related, ChatGPT, プロンプト例, 文章生成",,2023年6月1日 17:49,,★★★,,
ChatGTPの内容をNotionに保存し管理,"AI-related, BookMark, ChatGPT, Notion",https://www.youtube.com/watch?v=LCKSSX07DYU,2023年6月1日 16:32,ChatGTPの会話の内容をNotionに保存し管理する方法,★★,,
ChatGTPによるアクセスアップの現状,"AI-related, BookMark, ChatGPT, SEO, WebSite, WordPress, マーケティング, 稼ぐ",https://www.youtube.com/watch?v=XyzMwBIsYEU,2023年6月1日 12:50,ChatGPTにブログ記事を書かせたら、検索順位が下がった！？,,,
ChatGPTが自分で考えたTweet文を生成,"AI-related, BookMark, ChatGPT, SNS, X（旧Twitter）, プロンプト, 動画編集, 映像, 画像・映像生成",https://www.youtube.com/watch?v=8XllvnpvDBw,2023年5月28日 18:30,,★★★★,,
WPデータベースをエクスポート・インポートするプラグイン,"WordPress, プラグイン",,2024年6月27日 16:15,,,,
不要な画像を減らしデータを軽くするプラグイン,"WordPress, プラグイン",,2024年6月26日 19:01,,,,
更新履歴記録 Simple History,"WordPress, プラグイン",,2024年6月1日 2:05,誰が更新したかを記録できるので、責任問題を解決できます。,,,
Simple Custom CSS and JS,"BookMark, WebSite, WordPress, デザイン, プラグイン, 実務",,2023年4月30日 13:31,,,,
AIでより【リアル&解像度UP】ムービーが作れる方法,"AI-related, BookMark, ChatGPT, プロンプト, プロンプト例, 映像, 画像・映像生成",https://www.youtube.com/watch?v=DUr12aDPekM,2024年3月31日 13:44,有料ツールはChatGPTだけで、他は無料の映画のような3分動画が簡単に作れる。登場人物の顔を変えないのがポイント,,,
AIで3分ムービーが作れる方法｜登場人物の顔変わらない,"AI-related, BookMark, ChatGPT, プロンプト, プロンプト例, 映像, 画像・映像生成",https://www.youtube.com/watch?v=zbNpR1gBDy4,2024年3月30日 12:42,有料ツールはChatGPTだけで、他は無料の映画のような3分動画が簡単に作れる。登場人物の顔を変えないのがポイント,,,
文章の文体を変えるプロンプト　内容そのまま,"AI-related, プロンプト, プロンプト例, 文章生成",https://excelcamp.jp/ai-bot/media/prompt/p-text/14156/,2024年3月16日 19:26,,,,
Claudeで使える【XMLタグ】,"AI-related, コード・タグ, プロンプト, プロンプト例",,2024年3月12日 15:03,,,,
Claudeで種類の違う複数のドキュメントを読ませるタグ,"AI-related, BookMark, Claude3, WebSite, コード・タグ, プロンプト",https://zenn.dev/ttks/articles/5b071665326719,2024年3月12日 9:18,,,,
Claudeを賢くするためのプロンプト,"AI-related, BookMark, Claude3, WebSite, コード・タグ, プロンプト",https://zenn.dev/ttks/articles/5b071665326719,2024年3月12日 9:14,,,,
Claudeで使用できるXMLタグ一覧,"Claude3, コード・タグ, プロンプト, プロンプト例",,2024年3月12日 9:10,,,,
Claude3におけるプロンプト術の解説,"AI-related, BookMark, Claude3, YouTube, プロンプト, 動画まとめ",https://www.youtube.com/watch?v=otqEjGXZ2Ho,2024年3月12日 1:14,,,,
集客メソッドのChatGPT AIプロンプト,"BookMark, SNS, プロンプト, プロンプト例, マーケティング, 稼ぐ",https://docs.google.com/document/d/12T6OMeZ1W66dbsPx0JqTk_Ou2D6EYghl83Gxf016IOs/edit,2024年2月19日 16:18,集客メソッドの全てを詰め込んだChatGPT AIプロンプトを厳選でご紹介,,,
XMの取引履歴を見やすいナンバーズファイルにする,"ChatGPT, Code Interepreter, FX, プロンプト, プロンプト例",,2024年2月3日 17:25,,,,
AIに質問してもらい、さらに良い結果を出す,"AI-related, BookMark, ChatGPT, プロンプト, プロンプト例, 文章生成",https://www.youtube.com/watch?v=ShvRrNXbPfc,2024年1月7日 2:00,,,,
【Cursor】次世代AIエディタ,"AI-related, BookMark, YouTube, プロンプト",https://www.youtube.com/watch?v=op5LZ0rZ4Ck,2023年11月20日 22:45,AIを活用したコードの自動生成、AIによるコードの説明や解説、AIによるコードのテスト,,,
【DALLE3】で同じ画像を生成する時に追加するプロンプト,"ChatGPT, DALL-E 3, プロンプト, プロンプト例, 動画まとめ, 生成, 画像, 画像・映像生成",https://www.youtube.com/watch?v=CKPKddZkxPw,2023年11月18日 12:53,,,,
コピペで使えるChatGPTプロンプト集,"BookMark, ChatGPT, YouTube, プロンプト, プロンプト例",https://www.youtube.com/watch?v=eYwbA27U3cU,2023年11月17日 19:14,,,,
DALL-E3の質感指定プロンプト,"ChatGPT, DALL-E 3, GTP-4V, プロンプト, プロンプト例",,2023年11月6日 18:24,この粘土の模型っぽいデザインのプロンプト、デザイン事態にこのプロンプトを追加で入れる,,,
AIの専門家同士が議論し回答を導き出す,"BookMark, ChatGPT, プロンプト",https://www.youtube.com/watch?v=JolvUEMz0HI,2023年11月4日 9:45,,,,
DALL-E 3【文字をキレイ】に入れる画像生成,"プロンプト, プロンプト例, 生成, 画像",,2023年10月29日 18:08,,★★★★★,,
動画台本用プロンプト,"AI-related, プロンプト",https://www.youtube.com/watch?v=ideiLMvPDaU,2023年10月7日 12:16,【完全解説】ゼロからAIだけで動画を作成する方法,,,
再生回数が上がるタイトル生成プロンプト,"ChatGPT, プロンプト, プロンプト例, マーケティング, 稼ぐ",,2023年9月22日 11:04,,,,
プログラム的な出力ができるプロンプト例,"ChatGPT, プロンプト, プロンプト例",,2023年9月22日 10:54,,,,
【ChatGPT】たった10分で高品質なTwitter投稿を100個作る方法,"AI-related, SNS, X（旧Twitter）, ブランディング, プロンプト, プロンプト例, マーケティング, 稼ぐ",https://www.youtube.com/watch?v=CUMxq2Hdjh8,2023年9月11日 9:46,良さげ内容っぽい。実際にやっている人。GTPから質疑しながらっぽい,,,
YouTube動画をChatGPTでまとめる,"ChatGPT, YouTube, プロンプト, プロンプト例, 記事制作",https://www.youtube.com/watch?v=tQp_6HbQV10,2023年6月8日 17:47,,★★★★★,,
ChatGPTでAIアバターが喋る動画を簡単に作る方法,"ChatGPT, プラグイン, プロンプト, プロンプト例, 映像",https://www.youtube.com/watch?v=t0GpYyQV33Q,2023年6月8日 13:10,"今回はChatGPTを使って任意の記事の文章を要約して、それをAIアバターが喋る解説動画にする方法を解説します。
動画内では、URLを読み込ませ、それを要約し動画化",★★★★★,,
ChatGTPにプロンプトを描いてもらう,"ChatGPT, プロンプト",,2023年6月3日 19:35,,,,
リライトプロンプト,"プロンプト, プロンプト例",,2023年6月3日 19:31,,,,
物語生成プロンプト,"AI-related, ブランディング, プロンプト例, 文章生成",https://products.aspose.app/diagram/ja/prompts/chatgpt/storyteller,2023年8月23日 13:59,ストーリーテラープロンプトジェネレーター,,,
ChatGTPに質問をさせながら、ブランド構築,"ChatGPT, ブランディング, プロンプト, プロンプト例, 経営",,2023年7月27日 16:41,,,,
ChatGTPに参考サイトの情報を元にアドバイスをもらう,"プロンプト, プロンプト例",,2023年6月3日 9:47,,★★★,,
【Python】仕事を自動化できること50例と学習ロードマップ,"BookMark, Program, YouTube, python",https://www.youtube.com/watch?v=xoL2Q3zjn3k,2023年10月29日 15:06,,,,
【Stable Video Diffusion】で動画生成AI,"BookMark, Stable Diffusion Insights, Video, 動画編集, 映像, 生成, 画像・映像生成",,2023年12月6日 12:33,,,,
拡張機能 ControlNet 追加 Stable Diffusion,"AI-related, Stable Diffusion Insights, アプリ・ソフト, 画像・映像生成",https://koneko3.com/how-to-use-controlnet/#toc1,2023年9月10日 18:58,,,,
WEBUI用 ControlNet 追加 Stable Diffusion,"AI-related, Stable Diffusion Insights, アプリ・ソフト, 画像・映像生成",https://monoocean.com/2023/06/29/stable-diffusion-web-ui_controlnet/,2023年9月10日 17:15,Paperspace用のインストールで、自分の環境に近い,,,
